Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: WGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
N/A (not a worker; worker who worked from home),43,35,31,32,32,37,30,29,28
12:00 a.m. to 12:04 a.m.,43,45,54,,31,43,38,43,37
12:05 a.m. to 12:09 a.m.,46,46,38,,43,40,38,44,38
12:10 a.m. to 12:14 a.m.,43,39,42,,46,45,38,39,39
12:15 a.m. to 12:19 a.m.,44,42,39,,,43,28,37,42
12:20 a.m. to 12:24 a.m.,42,41,40,61,,40,47,40,43
12:25 a.m. to 12:29 a.m.,44,39,28,,41,46,39,45,38
12:30 a.m. to 12:39 a.m.,43,43,36,,71,43,31,42,39
12:40 a.m. to 12:44 a.m.,43,41,31,,,41,,40,37
12:45 a.m. to 12:49 a.m.,45,45,39,,,42,,40,38
12:50 a.m. to 12:59 a.m.,43,40,41,21,51,45,36,39,38
1:00 a.m. to 1:04 a.m.,45,44,38,,34,45,43,36,37
1:05 a.m. to 1:09 a.m.,42,39,,,,43,30,35,37
1:10 a.m. to 1:14 a.m.,42,37,24,,,43,26,37,42
1:15 a.m. to 1:19 a.m.,44,45,44,,27,44,35,41,35
1:20 a.m. to 1:24 a.m.,44,44,49,,,45,40,36,45
1:25 a.m. to 1:29 a.m.,40,38,38,,,46,34,39,41
1:30 a.m. to 1:34 a.m.,42,39,38,,30,44,43,40,42
1:35 a.m. to 1:39 a.m.,42,38,47,,,43,36,43,43
1:40 a.m. to 1:44 a.m.,44,42,37,,,45,28,39,42
1:45 a.m. to 1:49 a.m.,45,42,37,,,43,52,42,42
1:50 a.m. to 1:59 a.m.,44,44,56,,,44,,36,39
2:00 a.m. to 2:04 a.m.,44,45,46,33,37,46,32,43,39
2:05 a.m. to 2:09 a.m.,43,44,20,32,,42,,41,36
2:10 a.m. to 2:14 a.m.,43,51,42,,,47,,40,41
2:15 a.m. to 2:19 a.m.,46,40,42,,57,47,50,45,45
2:20 a.m. to 2:24 a.m.,44,46,42,22,,52,22,40,38
2:25 a.m. to 2:29 a.m.,43,45,40,,,42,,42,42
2:30 a.m. to 2:34 a.m.,45,42,35,,61,48,64,38,46
2:35 a.m. to 2:39 a.m.,47,47,45,,,43,40,38,41
2:40 a.m. to 2:44 a.m.,43,43,37,,51,46,63,41,40
2:45 a.m. to 2:49 a.m.,45,43,37,,49,48,29,42,39
2:50 a.m. to 2:54 a.m.,44,47,37,,36,43,36,44,38
2:55 a.m. to 2:59 a.m.,46,49,34,,49,43,,39,39
3:00 a.m. to 3:04 a.m.,45,41,43,,48,43,20,40,45
3:05 a.m. to 3:09 a.m.,43,40,50,,,48,23,37,43
3:10 a.m. to 3:14 a.m.,44,40,51,,56,46,27,40,44
3:15 a.m. to 3:19 a.m.,45,44,43,,,44,44,40,38
