Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: WGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
N/A (not a worker; worker who worked from home),326,683,470,349,534,563,866,750,583
12:00 a.m. to 12:04 a.m.,388,769,423,,0,754,940,957,449
12:05 a.m. to 12:09 a.m.,440,411,225,,0,481,2981,211,567
12:10 a.m. to 12:14 a.m.,408,691,282,,739,515,0,1051,816
12:15 a.m. to 12:19 a.m.,530,614,810,,,79,1150,481,691
12:20 a.m. to 12:24 a.m.,513,525,305,880,,585,772,797,400
12:25 a.m. to 12:29 a.m.,390,732,1277,,0,523,0,1075,885
12:30 a.m. to 12:39 a.m.,512,627,346,,560,831,1110,640,460
12:40 a.m. to 12:44 a.m.,518,1042,828,,,835,,935,420
12:45 a.m. to 12:49 a.m.,403,460,0,,,383,,1052,504
12:50 a.m. to 12:59 a.m.,422,762,1288,0,0,507,773,813,513
1:00 a.m. to 1:04 a.m.,468,764,157,,1450,330,1700,823,847
1:05 a.m. to 1:09 a.m.,451,653,,,,623,1860,702,1110
1:10 a.m. to 1:14 a.m.,397,569,0,,,910,1230,645,775
1:15 a.m. to 1:19 a.m.,332,643,603,,1800,109,0,692,861
1:20 a.m. to 1:24 a.m.,530,519,0,,,391,1493,657,867
1:25 a.m. to 1:29 a.m.,387,661,0,,,703,0,1233,427
1:30 a.m. to 1:34 a.m.,438,696,1299,,0,277,1420,1135,656
1:35 a.m. to 1:39 a.m.,579,896,68,,,835,0,678,473
1:40 a.m. to 1:44 a.m.,334,1201,0,,,514,0,929,742
1:45 a.m. to 1:49 a.m.,241,577,387,,,915,902,834,670
1:50 a.m. to 1:59 a.m.,565,577,934,,,560,,1101,591
2:00 a.m. to 2:04 a.m.,354,774,553,0,0,182,2581,1000,885
2:05 a.m. to 2:09 a.m.,270,567,507,0,,680,,947,787
2:10 a.m. to 2:14 a.m.,496,831,968,,,842,,924,533
2:15 a.m. to 2:19 a.m.,367,622,0,,0,324,1978,338,375
2:20 a.m. to 2:24 a.m.,289,687,681,1640,,406,780,726,648
2:25 a.m. to 2:29 a.m.,370,988,0,,,488,,1133,747
2:30 a.m. to 2:34 a.m.,311,675,512,,783,427,0,982,453
2:35 a.m. to 2:39 a.m.,344,637,450,,,382,1210,391,364
2:40 a.m. to 2:44 a.m.,537,772,664,,434,809,250,517,753
2:45 a.m. to 2:49 a.m.,310,428,617,,0,612,1870,932,846
2:50 a.m. to 2:54 a.m.,239,649,851,,1950,620,1612,428,707
2:55 a.m. to 2:59 a.m.,291,477,1300,,574,394,,563,812
3:00 a.m. to 3:04 a.m.,438,673,669,,839,599,0,794,396
3:05 a.m. to 3:09 a.m.,404,713,433,,,1040,0,838,496
3:10 a.m. to 3:14 a.m.,321,683,1389,,0,342,589,738,406
3:15 a.m. to 3:19 a.m.,320,619,465,,,739,1078,779,807
3:20 a.m. to 3:24 a.m.,337,578,994,,0,203,1047,659,522
3:25 a.m. to 3:29 a.m.,475,782,513,,48,481,0,628,632
3:30 a.m. to 3:34 a.m.,371,800,518,,268,610,1825,921,324
3:35 a.m. to 3:39 a.m.,413,471,392,,0,490,,612,628
3:40 a.m. to 3:44 a.m.,396,572,473,,954,431,0,689,502
3:45 a.m. to 3:49 a.m.,385,830,512,,233,457,935,658,502
3:50 a.m. to 3:54 a.m.,309,566,551,,0,508,1814,710,664
3:55 a.m. to 3:59 a.m.,402,688,1452,,0,527,635,514,582
4:00 a.m. to 4:04 a.m.,367,686,458,,458,446,1214,833,444
4:05 a.m. to 4:09 a.m.,354,703,460,,0,515,0,828,464
4:10 a.m. to 4:14 a.m.,406,668,579,1780,0,751,2157,575,539
4:15 a.m. to 4:19 a.m.,297,772,463,711,281,586,0,754,601
4:20 a.m. to 4:24 a.m.,348,723,704,,423,510,380,939,649
4:25 a.m. to 4:29 a.m.,366,656,1203,,0,351,399,881,635
4:30 a.m. to 4:34 a.m.,301,728,622,1158,860,543,829,738,586
4:35 a.m. to 4:39 a.m.,345,643,453,,1588,746,603,582,566
4:40 a.m. to 4:44 a.m.,361,711,479,,1136,645,657,602,620
4:45 a.m. to 4:49 a.m.,368,730,535,,1188,390,1007,808,577
4:50 a.m. to 4:54 a.m.,325,561,586,1920,663,554,1243,628,533
4:55 a.m. to 4:59 a.m.,326,702,554,1007,1958,407,412,703,624
5:00 a.m. to 5:04 a.m.,293,542,713,,742,557,1107,674,572
5:05 a.m. to 5:09 a.m.,376,760,501,0,53,634,1140,692,683
5:10 a.m. to 5:14 a.m.,399,625,794,150,1100,663,809,707,727
5:15 a.m. to 5:19 a.m.,340,596,448,1390,0,633,619,705,683
5:20 a.m. to 5:24 a.m.,393,692,757,0,1870,499,930,764,653
5:25 a.m. to 5:29 a.m.,323,645,582,0,285,352,479,736,596
5:30 a.m. to 5:34 a.m.,289,611,727,0,583,734,1087,754,627
5:35 a.m. to 5:39 a.m.,361,733,640,0,85,419,873,635,496
5:40 a.m. to 5:44 a.m.,343,705,523,,1064,381,822,777,574
5:45 a.m. to 5:49 a.m.,342,686,489,805,1153,496,1064,694,535
5:50 a.m. to 5:54 a.m.,349,613,479,134,653,537,760,743,601
5:55 a.m. to 5:59 a.m.,347,618,713,0,807,406,882,720,581
6:00 a.m. to 6:04 a.m.,322,657,563,0,938,462,627,766,654
6:05 a.m. to 6:09 a.m.,370,682,502,1625,690,574,1181,683,580
6:10 a.m. to 6:14 a.m.,360,725,588,202,613,611,822,735,668
6:15 a.m. to 6:19 a.m.,332,668,644,,331,503,713,825,620
6:20 a.m. to 6:24 a.m.,348,699,615,0,561,612,916,775,643
6:25 a.m. to 6:29 a.m.,324,654,557,940,918,416,581,698,580
6:30 a.m. to 6:34 a.m.,337,647,660,0,665,526,723,807,615
6:35 a.m. to 6:39 a.m.,348,677,519,702,202,523,844,730,613
6:40 a.m. to 6:44 a.m.,323,653,547,1147,582,628,307,822,624
6:45 a.m. to 6:49 a.m.,326,609,576,966,417,485,682,728,598
6:50 a.m. to 6:54 a.m.,320,610,499,893,283,513,548,742,553
6:55 a.m. to 6:59 a.m.,332,612,653,569,475,457,822,720,561
7:00 a.m. to 7:04 a.m.,336,636,565,397,604,540,442,774,630
7:05 a.m. to 7:09 a.m.,321,687,493,865,623,542,1400,688,601
7:10 a.m. to 7:14 a.m.,363,691,461,0,510,614,666,769,603
7:15 a.m. to 7:19 a.m.,353,709,593,1041,591,561,591,794,595
7:20 a.m. to 7:24 a.m.,351,650,498,61,937,548,793,789,609
7:25 a.m. to 7:29 a.m.,324,671,457,1019,395,447,805,779,529
7:30 a.m. to 7:34 a.m.,348,689,538,352,494,540,1096,841,641
7:35 a.m. to 7:39 a.m.,317,712,418,746,357,625,724,747,561
7:40 a.m. to 7:44 a.m.,341,673,540,307,417,589,646,739,605
7:45 a.m. to 7:49 a.m.,344,681,463,485,466,586,661,792,615
7:50 a.m. to 7:54 a.m.,356,637,424,105,388,626,469,770,591
7:55 a.m. to 7:59 a.m.,373,655,439,317,701,533,717,687,530
8:00 a.m. to 8:04 a.m.,381,669,478,536,563,595,747,815,613
8:05 a.m. to 8:09 a.m.,378,671,409,210,1118,587,735,727,620
8:10 a.m. to 8:14 a.m.,420,765,474,816,549,651,1010,817,687
8:15 a.m. to 8:19 a.m.,423,688,653,190,779,657,1048,894,653
8:20 a.m. to 8:24 a.m.,424,694,626,371,748,696,603,787,653
8:25 a.m. to 8:29 a.m.,433,717,525,134,846,685,937,752,684
8:30 a.m. to 8:34 a.m.,443,746,603,301,683,569,1126,879,680
8:35 a.m. to 8:39 a.m.,433,705,642,336,361,798,1548,760,639
8:40 a.m. to 8:44 a.m.,470,801,638,592,565,642,1188,840,768
8:45 a.m. to 8:49 a.m.,491,734,737,287,532,718,739,860,689
8:50 a.m. to 8:54 a.m.,500,770,713,440,557,697,964,956,724
8:55 a.m. to 8:59 a.m.,548,744,575,652,1096,671,1019,813,742
9:00 a.m. to 9:04 a.m.,517,728,708,234,726,670,876,875,758
9:05 a.m. to 9:09 a.m.,463,800,663,382,1334,733,909,781,708
9:10 a.m. to 9:14 a.m.,504,858,538,49,472,817,862,863,790
9:15 a.m. to 9:19 a.m.,535,734,558,0,506,784,966,873,703
9:20 a.m. to 9:24 a.m.,511,841,560,280,624,671,901,832,614
9:25 a.m. to 9:29 a.m.,588,812,985,323,351,780,1029,1010,707
9:30 a.m. to 9:34 a.m.,543,789,630,2050,938,627,585,918,662
9:35 a.m. to 9:39 a.m.,497,715,948,,738,824,0,838,667
9:40 a.m. to 9:44 a.m.,554,924,796,,510,706,349,957,781
9:45 a.m. to 9:49 a.m.,560,760,943,318,557,631,611,846,661
9:50 a.m. to 9:54 a.m.,535,729,775,185,689,658,63,800,712
9:55 a.m. to 9:59 a.m.,571,674,659,591,134,632,464,791,697
10:00 a.m. to 10:04 a.m.,503,849,891,851,361,587,1139,892,659
10:05 a.m. to 10:09 a.m.,444,702,557,0,1610,723,839,958,676
10:10 a.m. to 10:14 a.m.,535,568,836,270,390,808,0,995,689
10:15 a.m. to 10:19 a.m.,516,852,688,779,737,789,546,904,734
10:20 a.m. to 10:24 a.m.,444,762,591,,199,698,539,1163,716
10:25 a.m. to 10:29 a.m.,531,873,601,2323,1423,708,1174,839,679
10:30 a.m. to 10:34 a.m.,521,795,1168,0,24,658,875,788,682
10:35 a.m. to 10:39 a.m.,481,778,750,,0,589,0,639,708
10:40 a.m. to 10:44 a.m.,572,894,584,,2346,736,1935,881,721
10:45 a.m. to 10:49 a.m.,463,759,1312,,420,596,438,923,676
10:50 a.m. to 10:54 a.m.,570,757,948,0,657,529,1104,797,712
10:55 a.m. to 10:59 a.m.,532,866,253,0,957,663,444,805,651
11:00 a.m. to 11:04 a.m.,487,841,883,2323,1068,603,758,1065,591
11:05 a.m. to 11:09 a.m.,556,614,567,0,0,537,634,522,640
11:10 a.m. to 11:14 a.m.,478,900,725,,682,818,227,821,786
