Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: PWGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
N/A (not a worker; worker who worked from home),13730,7867,5140,4028,5253,22888,8152,5794,8226
12:00 a.m. to 12:04 a.m.,52047,41469,29113,,44313,76734,21024,34454,29922
12:05 a.m. to 12:09 a.m.,53185,55406,13558,,8242,56852,16659,42854,44256
12:10 a.m. to 12:14 a.m.,44283,40661,20062,,27356,50061,76489,39297,43252
12:15 a.m. to 12:19 a.m.,57710,33898,35059,,,72231,76957,33322,47982
12:20 a.m. to 12:24 a.m.,52439,43806,39027,21000,,74143,24898,41082,40025
12:25 a.m. to 12:29 a.m.,58358,36787,34125,,2000,77820,37800,38837,41968
12:30 a.m. to 12:39 a.m.,53033,40950,31059,,56000,74093,53000,40187,41195
12:40 a.m. to 12:44 a.m.,55198,36261,28499,,,46407,,41041,73083
12:45 a.m. to 12:49 a.m.,62735,49422,101688,,,61846,,34517,54335
12:50 a.m. to 12:59 a.m.,56879,36713,33225,8300,64483,76040,22880,37658,36464
1:00 a.m. to 1:04 a.m.,55326,37903,25274,,13000,58612,150000,32274,47099
1:05 a.m. to 1:09 a.m.,70920,30614,,,,36146,22500,42301,57601
1:10 a.m. to 1:14 a.m.,54948,31710,2000,,,44819,181000,37935,37055
1:15 a.m. to 1:19 a.m.,59589,43464,29254,,2000,59747,30675,47553,59410
1:20 a.m. to 1:24 a.m.,69928,45215,38008,,,77174,77346,39004,35746
1:25 a.m. to 1:29 a.m.,55102,28809,71000,,,47655,39550,19511,50498
1:30 a.m. to 1:34 a.m.,59372,32686,65221,,24047,85435,77000,31498,42759
1:35 a.m. to 1:39 a.m.,51776,33123,12874,,,28670,90000,58089,39929
1:40 a.m. to 1:44 a.m.,61418,36715,45000,,,27706,17500,27381,35388
1:45 a.m. to 1:49 a.m.,56767,45113,42081,,,59397,51218,40177,37400
1:50 a.m. to 1:59 a.m.,50721,42517,22717,,,45717,,37110,38009
2:00 a.m. to 2:04 a.m.,60303,41738,43773,80000,79000,107717,63911,40066,48673
2:05 a.m. to 2:09 a.m.,47653,43364,25482,36000,,47187,,41440,34438
2:10 a.m. to 2:14 a.m.,45648,50126,34983,,,60509,,36783,37904
2:15 a.m. to 2:19 a.m.,57501,46367,104811,,42000,38051,13160,41973,44644
2:20 a.m. to 2:24 a.m.,53085,41444,60329,50000,,39212,0,39191,56865
2:25 a.m. to 2:29 a.m.,54990,42528,80000,,,47221,,36603,41097
2:30 a.m. to 2:34 a.m.,57131,37000,29779,,88000,67736,62000,36963,43165
2:35 a.m. to 2:39 a.m.,59089,45440,48147,,,54755,40000,59679,48430
2:40 a.m. to 2:44 a.m.,47979,41122,25266,,40691,42342,17885,44278,43425
2:45 a.m. to 2:49 a.m.,51975,45817,35345,,45000,51021,82000,38559,46617
2:50 a.m. to 2:54 a.m.,55123,49299,19332,,110000,45247,34327,39348,43792
